credit_limit,num_cards_issued,account_age,pin_age,has_chip,card_type,card_on_dark_web,card_brand_encoded,Cluster
24295.0,2,24,4,1,0.0,0,2,1
21968.0,2,12,12,1,0.0,0,2,1
46414.0,2,23,22,1,0.0,0,2,1
27500.0,1,23,0,1,1.0,0,2,0
28508.0,2,15,1,1,0.0,0,2,1
54.0,2,16,11,1,1.0,0,1,0
99.0,1,20,0,1,1.0,0,1,0
31599.0,2,17,2,1,0.0,0,1,1
27480.0,2,24,4,0,0.0,0,1,3
26743.0,1,7,7,1,0.0,0,1,2
31463.0,1,12,12,1,0.0,0,2,2
16055.0,1,17,2,1,0.0,0,1,2
62.0,1,19,19,1,1.0,0,1,0
125723.0,1,17,16,1,0.0,0,2,2
34900.0,1,1,0,1,0.0,0,1,2
21587.0,2,19,19,1,0.0,0,2,1
15800.0,2,21,1,1,1.0,0,2,0
29964.0,1,21,12,1,0.0,0,1,2
11200.0,2,16,16,1,1.0,0,1,0
26753.0,2,12,12,0,0.0,0,1,3
26546.0,2,17,2,1,0.0,0,1,1
23253.0,1,9,9,1,0.0,0,1,2
29333.0,1,14,0,1,0.0,0,1,2
9496.0,2,17,0,1,0.0,0,1,1
25499.0,1,6,6,1,0.0,0,2,2
18641.0,1,6,6,1,0.0,0,2,2
25845.0,1,6,6,1,0.0,0,1,2
18684.0,2,20,9,1,0.0,0,1,1
7400.0,2,6,6,0,1.0,0,2,3
4147.0,2,18,10,1,0.0,0,1,1
76.0,1,14,0,1,1.0,0,2,0
4700.0,1,18,12,0,1.0,0,0,3
5800.0,2,19,1,1,1.0,0,2,0
12082.0,2,10,10,1,0.0,0,1,1
6000.0,2,24,16,0,1.0,0,1,3
620.0,1,24,12,1,0.0,0,2,2
12332.0,2,19,2,1,0.0,0,1,1
18424.0,1,13,13,1,0.0,0,1,2
15400.0,1,23,4,0,1.0,0,2,3
14548.0,2,19,13,1,0.0,0,2,1
10100.0,2,10,10,1,1.0,0,1,0
11200.0,1,0,4,1,1.0,0,0,0
20291.0,2,17,1,1,0.0,0,1,1
4612.0,2,6,6,0,0.0,0,2,3
8367.0,1,17,2,1,0.0,0,1,2
6100.0,2,0,2,1,1.0,0,2,0
9944.0,3,6,6,1,0.0,0,1,1
5600.0,1,6,6,1,1.0,0,2,0
4488.0,2,24,11,1,0.0,0,2,1
12500.0,2,12,12,1,1.0,0,2,0
23432.0,2,25,4,1,0.0,0,1,1
12100.0,2,6,6,1,1.0,0,1,0
11973.0,1,14,0,1,0.0,0,1,2
13601.0,2,20,12,1,0.0,0,1,1
7800.0,2,6,6,1,1.0,0,1,0
17816.0,2,18,10,1,0.0,0,2,1
17707.0,2,16,16,0,0.0,0,1,3
19110.0,1,16,1,1,0.0,0,1,2
13428.0,1,10,10,1,0.0,0,1,2
17872.0,1,18,4,1,0.0,0,1,2
12900.0,1,23,16,1,1.0,0,1,0
20634.0,2,21,19,1,0.0,0,1,1
12200.0,2,20,16,1,1.0,0,2,0
6600.0,2,6,6,0,1.0,0,2,3
25815.0,1,9,9,1,0.0,0,1,2
21628.0,1,25,4,1,0.0,0,1,2
24232.0,1,17,2,1,0.0,0,1,2
10775.0,2,17,16,1,0.0,0,1,1
105.0,2,19,13,1,1.0,0,1,0
7100.0,2,16,16,0,1.0,0,2,3
29351.0,1,21,19,1,0.0,0,1,2
15125.0,2,18,0,1,0.0,0,1,1
8000.0,2,23,4,1,1.0,0,1,0
83.0,1,16,16,1,1.0,0,1,0
700.0,2,10,10,1,1.0,0,2,0
7488.0,2,20,10,1,0.0,0,1,1
30971.0,2,21,6,1,0.0,0,1,1
53036.0,1,13,13,1,0.0,0,2,2
35750.0,1,15,1,1,0.0,0,1,2
33375.0,1,13,13,1,0.0,0,2,2
22.0,2,16,16,1,1.0,0,2,0
