card_brand,card_type,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,account_age,pin_age,card_brand_encoded
2.0,0.0,1,2,24295.0,2002-09-01,2022,0,24,4,2
2.0,0.0,1,2,21968.0,2014-04-01,2014,0,12,12,2
2.0,0.0,1,2,46414.0,2003-07-01,2004,0,23,22,2
2.0,1.0,1,1,27500.0,2003-09-01,2026,0,23,0,2
2.0,0.0,1,2,28508.0,2011-02-01,2025,0,15,1,2
1.0,1.0,1,2,54.0,2010-06-01,2015,0,16,11,1
1.0,1.0,1,1,99.0,2006-07-01,2026,0,20,0,1
1.0,0.0,1,2,31599.0,2009-10-01,2024,0,17,2,1
1.0,0.0,0,2,27480.0,2002-03-01,2022,0,24,4,1
1.0,0.0,1,1,26743.0,2019-03-01,2019,0,7,7,1
2.0,0.0,1,1,31463.0,2014-04-01,2014,0,12,12,2
1.0,0.0,1,1,16055.0,2009-09-01,2024,0,17,2,1
1.0,1.0,1,1,62.0,2007-02-01,2007,0,19,19,1
2.0,0.0,1,1,125723.0,2009-10-01,2010,0,17,16,2
1.0,0.0,1,1,34900.0,2025-12-01,2026,0,1,0,1
2.0,0.0,1,2,21587.0,2007-09-01,2007,0,19,19,2
2.0,1.0,1,2,15800.0,2005-11-01,2025,0,21,1,2
1.0,0.0,1,1,29964.0,2005-06-01,2014,0,21,12,1
1.0,1.0,1,2,11200.0,2010-09-01,2010,0,16,16,1
1.0,0.0,0,2,26753.0,2014-10-01,2014,0,12,12,1
1.0,0.0,1,2,26546.0,2009-11-01,2024,0,17,2,1
1.0,0.0,1,1,23253.0,2017-09-01,2017,0,9,9,1
1.0,0.0,1,1,29333.0,2012-05-01,2026,0,14,0,1
1.0,0.0,1,2,9496.0,2009-07-01,2026,0,17,0,1
2.0,0.0,1,1,25499.0,2020-02-01,2020,0,6,6,2
2.0,0.0,1,1,18641.0,2020-02-01,2020,0,6,6,2
1.0,0.0,1,1,25845.0,2020-02-01,2020,0,6,6,1
1.0,0.0,1,2,18684.0,2006-07-01,2017,0,20,9,1
2.0,1.0,0,2,7400.0,2020-02-01,2020,0,6,6,2
1.0,0.0,1,2,4147.0,2008-12-01,2016,0,18,10,1
2.0,1.0,1,1,76.0,2012-12-01,2026,0,14,0,2
